tanggal,jenis_kejadian_bencana,kelurahan,kecamatan,wilayah,taksiran_kerugian,keterangan_jkb
2/13/2020,Penyelamatan,Pekayon,Pasar Rebo,Jakarta Timur,0,Pengendalian Hewan
2/13/2020,Penyelamatan,Batu Ampar,Kramat Jati,Jakarta Timur,0,Pengendalian Hewan
2/13/2020,Penyelamatan,Batu Ampar,Kramat Jati,Jakarta Timur,0,Operasi Penyelamatan Lainnya
2/13/2020,Kebakaran,Menteng,Menteng,Jakarta Pusat,0,Bencana Kebakaran
2/13/2020,Penyelamatan,Dukuh,Kramat Jati,Jakarta Timur,0,Pengendalian Hewan
2/13/2020,Kebakaran,Pondok Kopi,Duren Sawit,Jakarta Timur,0,Bencana Kebakaran
2/13/2020,Penyelamatan,Rawa Badak Selatan,Koja,Jakarta Utara,0,Pengendalian Hewan
2/13/2020,Penyelamatan,Kelapa Gading Timur,Kelapa Gading,Jakarta Utara,0,Pengendalian Hewan
2/13/2020,Penyelamatan,Tanjung Priok,Tanjung Priok,Jakarta Utara,0,Pengendalian Hewan
2/13/2020,Kebakaran,Meruya Utara,Kembangan,Jakarta Barat,0,Bencana Kebakaran
2/13/2020,Penyelamatan,Rambutan,Ciracas,Jakarta Timur,0,Pengendalian Hewan
2/13/2020,Bantuan Operasi,Cempaka Putih Barat,Cempaka Putih,Jakarta Pusat,0,Bantuan Operasi Lainnya
2/14/2020,Kebakaran,Cengkareng Barat,Cengkareng,Jakarta Barat,0,Bencana Kebakaran
2/14/2020,Penyelamatan,Kebon Pala,Makasar,Jakarta Timur,0,Pengendalian Hewan
2/14/2020,Penyelamatan,Kelapa dua wetan,Ciracas,Jakarta Timur,0,Pengendalian Hewan
2/14/2020,Kebakaran,Semper Barat,Cilincing,Jakarta Utara,"50,000,000",Bencana Kebakaran
2/14/2020,Penyelamatan,Sunter Agung,Tanjung Priok,Jakarta Utara,0,Pengendalian Hewan
2/14/2020,Penyelamatan,Tanjung Barat,Jagakarsa,Jakarta Selatan,0,Pengendalian Hewan
2/14/2020,Penyelamatan,Ciganjur,Jagakarsa,Jakarta Selatan,0,Pengendalian Hewan
2/14/2020,Penyelamatan,Kebon Manggis,Matraman,Jakarta Timur,0,Operasi Penyelamatan Lainnya
2/14/2020,Penyelamatan,Pekayon,Pasar Rebo,Jakarta Timur,0,Pengendalian Hewan
2/14/2020,Bantuan Operasi,pondok Pinang,Kebayoran Lama,Jakarta Selatan,0,Bantuan Operasi Lainnya
2/14/2020,Penyelamatan,pondok Pinang,Kebayoran Lama,Jakarta Selatan,0,Pengendalian Hewan
2/14/2020,Penyelamatan,Jatipadang,Pasar Minggu,Jakarta Selatan,0,Pengendalian Hewan
2/14/2020,Penyelamatan,Ragunan,Pasar Minggu,Jakarta Selatan,0,Pengendalian Hewan
